year,district,constituency,enp
1999,Ntchisi,Ntchisi South,1.979402497755863
1999,Phalombe,Phalombe Central,1.5321950370568027
1999,Phalombe,Phalombe East,1.2910528999953212
1999,Phalombe,Phalombe North,2.2600538448809635
1999,Phalombe,Phalombe North-East,1.3605344510023096
1999,Phalombe,Phalombe South,2.580494328587683
1999,Rumphi,Rumphi Central,1.2377411904642124
1999,Rumphi,Rumphi East,1.4816247690303772
1999,Rumphi,Rumphi North,1.3667784278041317
1999,Rumphi,Rumphi West,1.4611210624809385
1999,Salima,Salima Central,2.0900567386783693
1999,Salima,Salima North,1.9055410096389855
1999,Salima,Salima North-West,1.961353752248718
1999,Salima,Salima South,1.9823165585991436
1999,Salima,Salima South-East,1.9715577760868708
1999,Thyolo,Thyolo Central,1.4405602365741121
1999,Thyolo,Thyolo East,1.6506393694769563
1999,Thyolo,Thyolo North,1.6979615828060024
1999,Thyolo,Thyolo South,1.8175768170381237
1999,Thyolo,Thyolo South-West,2.329027263281039
1999,Thyolo,Thyolo Thava,1.5607305456031608
1999,Thyolo,Thyolo West,3.48381364254805
1999,Zomba,Zomba Central,2.1873660772933423
1999,Zomba,Zomba Changalume,1.8590872785623924
1999,Zomba,Zomba Chingale,1.3063073542790555
1999,Zomba,Zomba Chisi / Mpyupyu,1.7709449926210283
1999,Zomba,Zomba Domasi / Nsondole,1.701057729534822
1999,Zomba,Zomba Likangala,1.8325420258860796
1999,Zomba,Zomba Lisanjala,1.4872173750210933
1999,Zomba,Zomba Malosa,1.661020842014661
1999,Zomba,Zomba Ntonya,1.7272691681658912
1999,Zomba,Zomba Thondwe,1.5502088743989932
2004,Balaka,Balaka Central Ea,2.1392382324657855
2004,Balaka,Balaka North,1.6764153846997858
2004,Balaka,Balaka South,3.879729993448577
2004,Balaka,Balaka West,1.9779591908981073
2004,Blantyre,Blantyre Bangwe,2.8431604017579675
2004,Blantyre,Blantyre City Cent,4.301030890050599
2004,Blantyre,Blantyre City Sout,6.707881318187257
2004,Blantyre,Blantyre City Wes,5.414873181859674
2004,Blantyre,Blantyre Kabula,4.15464695703973
2004,Blantyre,Blantyre Malabada,3.975540412065109
2004,Blantyre,Blantyre North,2.21987018126365
2004,Blantyre,Blantyre North-Ea,2.370710706659718
2004,Blantyre,Blantyre Rural Eas,3.368566590873461
2004,Blantyre,Blantyre South-W,3.7413702511871056
2004,Blantyre,Blantyre West,4.328290739705059
2004,Chikwawa,Chikwawa Central,3.2218590630758515
2004,Chikwawa,Chikwawa East,3.37059568682281
2004,Chikwawa,Chikwawa Nkomb,3.0786907429790764
2004,Chikwawa,Chikwawa North,4.420577085127197
2004,Chikwawa,Chikwawa South,1.8255075360839514
2004,Chikwawa,Chikwawa West,2.444711085835688
2004,Chiradzulu,Chiradzulu Centra,3.2385501725236665
2004,Chiradzulu,Chiradzulu East,1.828216260940623
2004,Chiradzulu,Chiradzulu North,2.9514715019203623
2004,Chiradzulu,Chiradzulu South,4.830280413155595
2004,Chiradzulu,Chiradzulu West,3.3916341447391596
2004,Chitipa,Chitipa Central,3.3944229606639067
2004,Chitipa,Chitipa East,2.1862282764140897
2004,Chitipa,Chitipa North,4.626086866231726
2004,Chitipa,Chitipa South,2.3109191836847947
2004,Chitipa,Chitipa Wenya,3.2417937619234802
2004,Dedza,Dedza Central,2.3021597223423034
2004,Dedza,Dedza Central-East,1.9358666508045703
2004,Dedza,Dedza East,3.2238633747761902
2004,Dedza,Dedza North,2.759506552545644
2004,Dedza,Dedza North-West,2.0730697776932083
2004,Dedza,Dedza South,1.8034653561364011
2004,Dedza,Dedza South-West,3.863068260175848
2004,Dedza,Dedza West,1.8641797996310425
2004,Dowa,Dowa Central,2.2207975805119804
2004,Dowa,Dowa East,2.824293162093379
2004,Dowa,Dowa Ngala,2.2374946980846353
2004,Dowa,Dowa North,2.457447225495337
2004,Dowa,Dowa North-East,3.741437740450835
2004,Dowa,Dowa South-East,1.6266250019720532
2004,Dowa,Dowa West,2.0331951333892535
2004,Karonga,Karonga Central,4.308960951391348
2004,Karonga,Karonga North,6.449102324289902
2004,Karonga,Karonga North We,3.534951890475459
2004,Karonga,Karonga Nyungwe,2.1807319641489586
2004,Karonga,Karonga South,3.018121096162623
2004,Kasungu,Kasungu Central,3.3264048769288217
2004,Kasungu,Kasungu East,2.05148114047833
2004,Kasungu,Kasungu North,4.730940095749718
2004,Kasungu,Kasungu North East,2.0659869267164446
2004,Kasungu,Kasungu North North-East,2.669675087025431
2004,Kasungu,Kasungu North-West,3.351411727247583
2004,Kasungu,Kasungu South,1.4979218923234856
2004,Kasungu,Kasungu South East,1.8745808340058896
2004,Kasungu,Kasungu West,2.1003655052302665
2004,Likoma,Likoma Islands,2.661032014987637
2004,Lilongwe,Lilongwe Central,1.883485723831456
2004,Lilongwe,Lilongwe City Cen,3.238600690526077
2004,Lilongwe,Lilongwe City Nor,2.7288200609457967
2004,Lilongwe,Lilongwe City Sou,2.2791021742766464
2004,Lilongwe,Lilongwe City Wes,3.1232322450591674
2004,Lilongwe,Lilongwe Kumach,1.699003677760838
2004,Lilongwe,Lilongwe Mapuyu,3.828938091645475
2004,Lilongwe,Lilongwe Mpenu,1.379907301675512
2004,Lilongwe,Lilongwe Mpenu N,2.0988304048908883
2004,Lilongwe,Lilongwe Msinja N,1.3178264113876017
2004,Lilongwe,Lilongwe Msinja S,1.704459549614116
2004,Lilongwe,Lilongwe Msozi N,1.3930205637089466
2004,Lilongwe,Lilongwe Msozi S,1.6169251026288254
2004,Lilongwe,Lilongwe North,2.6819642111391513
2004,Lilongwe,Lilongwe North-Ea,2.330145872246947
2004,Lilongwe,Lilongwe North-W,2.1984295973383725
2004,Lilongwe,Lilongwe South,1.2681291249151057
2004,Lilongwe,Lilongwe South E,1.826856630421022
2004,Lilongwe,Lilongwe South W,1.4084962675186166
2004,Lilongwe,Lilongwee City So,3.1011156376027036
2004,Machinga,Machinga Central,2.9745037591088135
2004,Machinga,Machinga Central East,2.346572212000166
2004,Machinga,Machinga East,4.247859535000666
2004,Machinga,Machinga Likwenu,2.2913832817391127
2004,Machinga,Machinga North-East,1.1924773405562024
2004,Machinga,Machinga South,2.559182305696669
2004,Machinga,Machinga South East,1.6617873832245291
2004,Mangochi,Mangochi Central,4.265243944417786
2004,Mangochi,Mangochi East,4.403696621834687
2004,Mangochi,Mangochi Malomb,2.4794874262059206
2004,Mangochi,Mangochi Masong,2.8950380660875377
2004,Mangochi,Mangochi Monkey,4.036402285049236
2004,Mangochi,Mangochi Nkungu,2.065543759559412
2004,Mangochi,Mangochi North,2.9871504126973227
2004,Mangochi,Mangochi North-E,2.7833391367792024
2004,Mangochi,Mangochi South,4.878729757191698
2004,Mangochi,Mangochi South W,5.588569395769373
2004,Mangochi,Mangochi West,3.9197736346953946
2004,Mchinji,Mchinji East,2.3543176848782035
2004,Mchinji,Mchinji North,3.6201996409946466
2004,Mchinji,Mchinji North-East,1.837932457801375
2004,Mchinji,Mchinji South,1.7396858946584794
2004,Mchinji,Mchinji South-West,2.5672062749642994
2004,Mchinji,Mchinji West,4.148952831916415
2004,Mulanje,Mulanje Bale,5.368982739869882
2004,Mulanje,Mulanje Central,2.2260517453801185
2004,Mulanje,Mulanje Limbuli,3.182827449687747
2004,Mulanje,Mulanje North,2.635624011868727
2004,Mulanje,Mulanje Pasani,4.010624004912154
2004,Mulanje,Mulanje South,2.1178054315695154
2004,Mulanje,Mulanje South East,4.238592097667222
